frame,id,speed,dist,state,event
53,25,0,0,CONGESTION,NORMAL
54,25,0.0,0,CONGESTION,NORMAL
55,25,0.0,0,CONGESTION,NORMAL
56,25,1.0,0,CONGESTION,NORMAL
58,22,0.0,1,CONGESTION,NORMAL
59,22,0.0,1,CONGESTION,NORMAL
60,22,0.0,1,CONGESTION,NORMAL
62,25,1.4142135623730951,0,CONGESTION,NORMAL
64,22,2.23606797749979,1,CONGESTION,NORMAL
65,22,2.0,1,CONGESTION,NORMAL
76,35,0,0,CONGESTION,NORMAL
77,35,0.0,0,CONGESTION,NORMAL
78,35,0.0,0,CONGESTION,NORMAL
103,8,2.0,0,CONGESTION,NORMAL
105,35,2.0,1,CONGESTION,NORMAL
110,35,5.0,8,CONGESTION,NORMAL
111,35,3.1622776601683795,10,CONGESTION,NORMAL
112,35,4.123105625617661,6,CONGESTION,NORMAL
113,35,3.1622776601683795,3,CONGESTION,NORMAL
555,210,0.0,1,CONGESTION,NORMAL
556,210,1.0,1,CONGESTION,NORMAL
558,210,2.23606797749979,2,CONGESTION,NORMAL
561,210,0.0,2,CONGESTION,NORMAL
562,210,0.0,2,CONGESTION,NORMAL
574,210,2.0,0,CONGESTION,NORMAL
575,210,0.0,0,CONGESTION,NORMAL
577,210,1.0,1,CONGESTION,NORMAL
578,210,1.4142135623730951,1,CONGESTION,NORMAL
1275,456,10.04987562112089,271,NORMAL,NORMAL
1276,456,9.055385138137417,271,NORMAL,NORMAL
1325,476,0,0,NORMAL,NORMAL
1326,476,0.0,0,NORMAL,NORMAL
1327,476,2.0,0,NORMAL,NORMAL
1330,475,1.0,0,NORMAL,NORMAL
1331,475,0.0,0,NORMAL,NORMAL
1334,476,2.0,0,NORMAL,NORMAL
1349,488,0,0,NORMAL,NORMAL
1350,488,0.0,0,NORMAL,NORMAL
1357,488,4.123105625617661,0,NORMAL,NORMAL
1359,488,2.0,0,NORMAL,NORMAL
1370,488,2.0,0,NORMAL,NORMAL
1410,503,0,9,CONGESTION,NORMAL
1411,503,2.0,8,CONGESTION,NORMAL
1620,597,2.0,56,NORMAL,NORMAL
1621,597,11.180339887498949,47,NORMAL,NORMAL
1692,640,0,2,NORMAL,NORMAL
1693,640,2.23606797749979,2,NORMAL,NORMAL
1694,640,1.4142135623730951,1,NORMAL,NORMAL
1695,640,2.0,0,NORMAL,NORMAL
1696,640,1.0,1,NORMAL,NORMAL
1697,640,1.0,2,NORMAL,NORMAL
1698,640,1.4142135623730951,4,NORMAL,NORMAL
1699,640,1.0,4,NORMAL,NORMAL
1700,640,3.0,5,NORMAL,NORMAL
1701,640,1.0,5,NORMAL,NORMAL
1702,640,1.0,3,NORMAL,NORMAL
