frame,id,speed,dist,state,event
1736,667,0,10,NORMAL,NORMAL
1737,667,0.0,11,CONGESTION,NORMAL
1738,667,0.0,14,CONGESTION,NORMAL
1739,667,1.0,11,CONGESTION,NORMAL
1742,667,1.0,11,NORMAL,NORMAL
1743,667,1.0,10,NORMAL,NORMAL
1744,667,0.0,11,NORMAL,NORMAL
1747,667,1.0,12,CONGESTION,NORMAL
1818,653,8.06225774829855,1,CONGESTION,NORMAL
1819,653,3.1622776601683795,1,CONGESTION,NORMAL
1833,704,0,2,CONGESTION,NORMAL
1834,704,0.0,2,CONGESTION,NORMAL
1835,704,0.0,1,CONGESTION,NORMAL
1836,704,0.0,1,CONGESTION,NORMAL
1837,704,1.0,1,CONGESTION,NORMAL
1838,704,1.0,1,CONGESTION,NORMAL
1839,704,0.0,1,CONGESTION,NORMAL
1843,704,2.0,1,CONGESTION,NORMAL
1846,704,2.0,1,CONGESTION,NORMAL
1847,704,0.0,1,CONGESTION,NORMAL
1848,704,1.0,1,CONGESTION,NORMAL
2113,863,0,0,NORMAL,NORMAL
2115,863,5.830951894845301,1,NORMAL,NORMAL
2116,863,5.0990195135927845,1,NORMAL,NORMAL
2117,861,7.0710678118654755,1,NORMAL,NORMAL
2119,861,2.23606797749979,1,NORMAL,NORMAL
2205,825,23.08679276123039,26,NORMAL,NORMAL
2206,893,3.0,3,NORMAL,NORMAL
2206,891,10.0,39,NORMAL,NORMAL
2206,825,15.811388300841896,21,NORMAL,NORMAL
2232,922,0,6,CONGESTION,NORMAL
2233,922,1.4142135623730951,5,CONGESTION,NORMAL
2235,922,7.280109889280518,9,CONGESTION,NORMAL
2236,922,3.1622776601683795,9,CONGESTION,NORMAL
2237,922,1.4142135623730951,9,CONGESTION,NORMAL
2238,922,3.0,10,CONGESTION,NORMAL
2239,922,1.4142135623730951,9,CONGESTION,NORMAL
2385,991,0,0,NORMAL,NORMAL
2386,991,4.123105625617661,0,NORMAL,NORMAL
2455,1044,15.652475842498529,66,NORMAL,NORMAL
2456,1003,5.0,5,NORMAL,NORMAL
2463,1044,8.06225774829855,175,NORMAL,NORMAL
2465,1044,8.54400374531753,164,NORMAL,NORMAL
2499,1067,17.08800749063506,1,NORMAL,NORMAL
2621,1113,1.0,2,NORMAL,NORMAL
2622,1113,1.0,5,NORMAL,NORMAL
2629,1113,1.4142135623730951,3,NORMAL,NORMAL
2643,1118,2.23606797749979,82,NORMAL,NORMAL
2646,1113,7.0710678118654755,10,NORMAL,NORMAL
2647,1113,2.0,10,NORMAL,NORMAL
2659,1113,0.0,6,CONGESTION,NORMAL
2731,1121,1.0,2,CONGESTION,NORMAL
2732,1121,2.0,1,CONGESTION,NORMAL
2733,1121,2.23606797749979,1,CONGESTION,NORMAL
2735,1121,11.045361017187261,1,CONGESTION,NORMAL
2736,1121,6.0,1,CONGESTION,NORMAL
2737,1121,2.0,1,CONGESTION,NORMAL
2740,1121,1.0,1,CONGESTION,NORMAL
2741,1121,7.0,1,CONGESTION,NORMAL
2743,1121,4.0,1,CONGESTION,NORMAL
2744,1121,3.1622776601683795,1,CONGESTION,NORMAL
2844,1167,99.02019995940222,47,NORMAL,NORMAL
